SCORE,ROUNDS,DAMAGE_DEALT,DAMAGE_RECEIVED,HP_REFILLED,SKELETON_A_KILLED,SKELETON_B_KILLED,BAT_KILLED,BRINGER_KILLED,DASHES,JUMPS,TIME_ELAPSED
8790,20,96691,1085,840,21,43,20,19,423,323,1993.29
7550,18,87502,750,550,19,35,17,17,553,353,1750.85
6335,15,74395,495,350,16,30,15,13,336,284,1439.23
10035,21,104537,1025,995,25,44,25,21,592,394,2135.82
7300,18,73290,405,335,16,29,15,13,325,264,1703.43
14945,26,125047,1720,1260,31,55,29,29,271,294,2388.87
13235,24,119503,1530,1050,27,50,27,25,303,287,2199.33
12050,23,115065,1305,1000,26,50,27,24,333,275,2221.72
13005,24,117403,1500,1305,26,50,27,25,385,253,2195.93
9930,20,100431,1405,1205,22,44,25,21,233,235,2105.65
13660,25,119238,1360,1150,29,52,27,25,550,419,2319.55
13760,25,120483,1530,1320,28,53,27,26,562,454,2285.39
12770,24,113932,1335,1200,26,50,27,23,345,334,2225.86
14600,26,124937,1025,990,30,55,29,29,381,310,2428.80
14560,26,124893,1355,1200,31,54,29,29,511,462,2397.11
10905,21,105932,1045,925,24,43,25,21,489,364,2110.48
13145,24,117503,1250,1025,26,50,27,25,350,363,2197.37
13620,25,119303,1460,1270,28,52,27,26,382,370,2301.55
14560,26,122052,1525,1360,31,55,29,29,380,300,2386.72
12470,24,115239,1350,1230,25,49,27,23,366,353,2304.33
10655,21,105395,1225,965,26,44,25,21,461,403,2031.79
14645,26,126038,1640,1305,31,55,29,28,546,558,2484.32
10755,22,106329,1350,1230,26,47,27,21,335,310,2210.42
11105,21,112383,1050,930,24,44,25,21,468,401,2064.81
13060,25,119573,1325,1255,28,53,27,26,454,410,2301.50
12085,22,114932,1270,1155,25,46,26,22,334,395,2283.38
10210,21,104234,1050,920,24,44,25,21,425,397,2135.01
14155,26,121393,1495,1255,29,53,29,28,492,482,2420.34
14685,26,123005,1555,1430,30,55,29,29,353,319,2395.92
12775,23,116304,1360,1155,26,50,27,24,330,385,2296.18
11430,23,116102,1255,1130,26,50,28,24,363,318,2303.85
12775,23,116532,1230,1095,26,49,28,25,366,316,2343.19
11430,22,112034,1055,885,25,47,28,24,333,394,2196.16
10980,21,105823,1090,925,23,44,25,25,494,453,2048.63
12875,23,116309,1305,1200,26,49,27,25,482,483,2096.73
12070,21,106193,1210,1085,24,43,27,25,468,395,2193.35
14635,26,126930,1630,1530,29,55,29,28,432,413,2501.66
13370,25,119510,1430,1295,27,52,27,27,379,396,2290.28
12840,24,116024,1365,1145,25,49,27,25,568,513,2213.68
14080,26,126320,1465,1150,30,56,29,29,400,407,2494.37
11330,21,106237,1230,1135,24,42,26,25,423,410,2074.06
11330,21,106223,1260,935,24,42,26,25,540,573,2132.20
13615,24,118103,1385,1205,25,49,27,25,410,468,2274.23
10130,20,100519,960,735,22,44,25,21,467,424,1930.64
14830,26,127114,1625,1360,29,55,29,28,428,413,2531.71
10270,21,105113,1050,910,24,43,27,25,418,395,2099.93
12495,23,115923,1270,1065,25,50,28,24,444,419,2295.16
14690,26,125193,1375,1050,30,55,29,29,446,397,2406.38
14715,26,126032,1505,1360,29,54,29,28,410,383,2474.71
11300,21,105139,1225,1005,24,43,26,25,483,469,2196.18
0,1,0,100,0,0,0,0,0,0,2,29.23
0,1,0,100,0,0,0,0,0,5,7,26.34
0,1,0,100,0,0,0,0,0,0,0,27.24
0,1,0,100,0,0,0,0,0,0,0,27.08
